interviewernumber	questionnairecode	Age	gender	race	howlong	own_rent	adults	adultsemployed	householdincome	personalincome	originalstratum	howclosepicture	howclosewords	inf_stlmnt_accuracy	residence_accuracy	crowflies_address_indicatedinfstlmnt	crowflies_indicatedaddress_indicatedinfstlmnt	crowflies_address_infstlmnt	crowflies_indicatedaddress_infstlmnt	byroad_address_indicatedinfstlmnt	byroad_indicatedaddress_indicatedinfstlmnt	byroad_address_infstlmnt	byroad_indicatedaddress_infstlmnt	hve_fence	hve_razorwire	hve_electricfence	hve_burglarbars	hve_dogs	hve_alarm	hve_armedrespnse	hve_camera	other	want_fence	want_razorwire	want_electricfence	want_burglarbars	want_dogs	want_alarm	want_armedrespnse	want_camera	other_A	cnt_avd1	cnt_avd2	cnt_avd3	cnt_avd4	SJ1	SJ2	SJ3	SJ4	Thrt_Phy1	Thrt_Phy2	Thrt_Phy3	Thrt_Rce1	Thrt_Rce2	Thrt_Rce3	Thrt_Rce4	Thrt_Sym1	Thrt_Sym2	Thrt_Sym3	Thrt_Sym4	Thrt_Sym5	Idnt_In1	Idnt_In2	Idnt_In3	Idnt_Nd1	Idnt_Nd2	Idnt_Nd3	Att_IS1	Att_IS2	Att_IS3	Att_IS4	Att_IS5	Att_B1	Att_B2	Att_B3	Att_B4	Att_B5	PA1	PA2	PA3	PA4	Cnt_IS_see	Cnt_IS_hear	Cnt_IS_smell	Cnt_qnt_B	Cnt_qnt_IS	Cnt_pos_B	Cnt_neg_B	Cnt_pos_IS1	Cnt_Qul_IS1	Cnt_Qul_IS2	Cnt_Qul_IS3	Cnt_neg_IS1	Cnt_neg_IS2	Cnt_neg_IS3	Cnt_Ex_B1	Cnt_Ex_B2	Cnt_Ex_IS1	Cnt_Ex_IS2	PD_I_D	PD_N_D	PD_B_D	PD_Is_D	PD_I_F	PD_N_F	PD_B_F	PD_Is_F	Emot_Is_D1	Emot_Is_D2	Emot_Is_D3	Emot_Is_G1	Emot_Is_G2	Emot_Is_G3	Emot_Is_G4	Emot_Is_G5	Emot_Is_G6	Emot_Is_G7	Emot_Is_G8	CA_Is1	CA_Is2	CA_B1	CA_B2	Solidar1	Solidar2	Empath1	Empath2	Empath3	Empath4	Empth_P1	Empth_P2	Empth_P3	Domestic	Domes_PtFt	Dom_Is	Dom_Att1	Dom_Att2	Gardner	Gardn_PtFt	Gardn_Is	Gardn_Att1	Gardn_Att2	cnt_avd	SysJus	Thrt_Phy	Thrt_Rce	Thrt_Sym	Idnt_In	Idnt_Nd	Prej_IS	Prej_B	PolAtt	Cnt_Qul_IS	Cnt_neg_IS	PDisc_I	PDisc_Is	Emot_Is_D	Emot_Is_G	Emot_IS_G_Angry	Emot_IS_G_Repuls	ColAct_Is	ColAct_B	Solidar	Empath	Dom_Relat	Gardn_Relat	Cnt_IS_Visceral	CNT_Physical	CNT_Qaulity	CNT_Quantity	CNT_Extended	Distance.SelfReport	group_meansplit_crwofliesdistance
1	A9	55	0	2	17	0	4	2	10	1	2	2	0	0	1	124.15	248	124.15	248	130.91	415.51	130.91	415.51	1	0	0	1	1	0	0	0	 	0	1	1	0	0	1	1	1	neighborhood	0	3	3	3	2	3	3	3	4	4	4	4	4	4	3	1	3	3	3	4	4	4	4	4	3	3	9	9	9	9	9	5	5	5	5	5	4	4	4	4	1	1	1	4	4	4	2	3	1	1	3	4	4	4	2	2	0	0	3	3	3	3	3	1	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	1	3	1	3	1	 	 	 	 	1	 	 	 	 	2.25	3	4	3.75	2.8	4	3.33333333333333	9	5	4	1.66666666666667	4	3	3	4	4	.459640194724626	1.03215258825581	4	3	3	2.5	 	 	3	-.926917633582568	.331874730473134	2.15160721402063	-1.26296407531753	1	1
1	A60	26	1	2	37	0	3	1	17	17	3	2	1	0	0	179.8	179.8	179.8	179.8	180.3	180.3	180.3	180.3	1	1	0	1	0	1	1	0	 	0	0	1	0	0	0	0	1	 	0	0	2	3	4	1	1	2	3	3	3	2	3	3	3	3	2	3	2	3	4	4	3	3	2	3	5	5	7	5	5	5	5	7	5	6	3	4	4	4	0	0	0	3	2	2	2	1	2	2	3	2	1	2	9	2	 	0	2	1	1	2	2	2	2	2	0	0	0	2	2	2	2	2	1	2	2	3	3	2	2	3	3	3	2	3	3	2	1	3	0	1	1	9	9	0	1	1	9	9	1.25	1.33333333333333	3	2.75	2.6	3.66666666666667	2.66666666666667	5.4	5.6	3.75	2.33333333333333	1.66666666666667	2	2	0	1.875	-1.1989208203255	-.0520477883764552	3	2	3	2.75	9	9	0	-.20777661829242	-.21571528881322	-.599480025188112	-.665914680447951	2	1
4	D54	62	1	2	39	0	2	 	16	16	2	1	0	1	1	 	 	99.2	715.37	 	 	227.78	1002.63	1	1	0	1	0	1	0	0	 	1	1	1	1	1	1	1	1	SECURITY GUA	4	4	4	4	0	2	0	0	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	9	9	9	9	9	5	6	9	9	5	4	4	4	4	0	1	1	4	4	0	4	0	0	0	0	4	4	4	 	0	 	0	4	4	2	4	4	3	4	3	2	1	0	4	4	4	4	4	1	4	4	0	0	3	 	0	4	3	3	1	1	1	1	3	 	 	 	 	 	 	 	 	 	 	4	.666666666666667	4	3	4	4	4	9	6.8	4	0	4	4	3.5	1	3.625	.771580409693638	.285852437398132	0	1.5	2	2	 	 	2	-.622375280293117	-2.97765336375201	.944096495075897	-1.1257910142255	.5	1
1	A10	48	1	2	35	0	3	1	9	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	2	2	3	4	2	1	0	1	4	4	4	4	4	4	2	3	4	4	2	4	4	4	4	2	2	2	5	7	7	5	7	5	4	3	5	3	2	3	4	4	1	1	1	2	4	2	2	1	1	2	2	1	2	2	5	1	5	1	4	3	2	1	3	2	2	2	0	0	0	3	2	4	4	2	2	3	2	2	3	3	2	2	3	3	1	2	1	2	2	2	0	1	0	9	9	0	1	0	5	5	2.75	.666666666666667	4	3.5	3.4	4	2	6.2	4	3.25	1.66666666666667	1.66666666666667	3.5	1.5	0	2.75	.148705679457695	-.24755348260289	2.5	2.5	2.5	1.75	9	5	3	-1.35847869252008	-.487558555621919	-.343294444332824	-.515426490306084	.5	1
1	A52	35	1	2	38	0	3	2	 	 	2	2	0	0	0	62	62	62	62	104.91	104.91	104.91	104.91	1	0	0	1	1	0	0	0	 	0	1	1	0	0	1	1	1	 	0	0	0	0	4	0	3	3	3	1	1	4	4	1	4	4	4	4	4	1	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	4	4	4	4	1	1	0	2	2	2	2	2	3	3	3	0	0	3	8	3	3	2	4	4	0	1	4	0	4	1	0	0	0	4	4	4	3	2	0	0	0	0	0	0	1	0	0	1	3	1	1	0	1	1	0	1	1	7	4	0	1	1	4	4	0	2	1.66666666666667	3.25	3.4	4	4	5	5	4	3	1	4	1	0	2.125	1.80739262726682	-2.55208615003574	0	.5	0	1.5	5.5	4	2	-1.02638476100493	.17146020666948	-1.13993652483155	.82007094703717	1	1
4	D24	21	1	2	18	0	3	0	 	 	3	3	1	0	0	434	434	434	434	657.46	657.46	657.46	657.46	1	0	0	1	0	1	1	0	 	0	0	0	0	0	0	0	0	 	0	3	3	3	2	0	2	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	1	0	9	9	9	9	9	9	9	9	9	9	0	0	4	4	0	0	0	4	1	4	1	0	1	1	1	1	1	1	 	4	 	0	4	4	4	4	4	2	4	3	1	1	1	4	4	4	4	4	4	4	4	1	3	3	3	2	3	3	3	3	3	0	3	0	0	1	1	9	9	1	 	 	 	 	2.25	1.66666666666667	4	4	4	4	1.33333333333333	9	9	2	1	1	4	3.5	1	4	.459640194724626	1.03215258825581	2	3	2.5	3	9	 	0	.677768043696047	-.0647333140607168	-.475283658414545	.311100408951914	2.5	2
4	D40	40	1	2	20	0	2	1	15	 	2	1	0	0	1	 	 	55.8	 	197.53	 	197.53	 	1	1	0	1	1	0	0	0	 	0	0	0	0	0	0	0	0	 	4	4	4	4	4	0	1	1	4	4	4	4	3	1	4	4	4	4	4	4	4	4	4	4	4	4	 	 	 	0	 	 	 	 	 	 	3	4	4	3	1	1	1	4	4	3	2	3	1	2	2	1	3	4	 	2	 	2	3	3	2	2	3	2	3	1	 	 	 	 	 	 	 	 	 	 	 	2	1	2	3	3	3	3	3	3	3	3	1	3	1	 	 	 	 	 	 	 	 	 	4	.666666666666667	4	3	4	4	4	0	 	3.5	1.66666666666667	2.66666666666667	3	1.5	 	 	 	 	1.5	2.5	3	3	 	 	3	-1.02146030589519	.150404664441257	1.61005088377425	-.0281523970096208	.5	1
4	D41	63	0	2	25	0	4	2	 	 	2	5	0	0	1	55.06	0	55.06	0	92.6	0	92.6	0	1	0	0	1	0	1	1	0	 	0	0	0	0	0	0	0	0	 	0	3	4	4	4	4	1	2	4	4	4	1	3	1	1	4	1	3	1	4	3	3	2	3	4	3	9	7	8	9	9	0	4	5	6	6	4	3	4	4	0	0	0	3	1	2	1	0	3	1	1	1	3	4	 	4	 	1	2	1	0	3	3	3	3	0	0	0	0	4	 	 	 	 	 	 	 	3	3	4	4	4	4	3	1	2	1	3	1	3	0	1	1	9	9	1	1	1	9	9	2.75	2.33333333333333	4	1.5	2.6	2.66666666666667	3.33333333333333	8.4	4.2	3.75	1.66666666666667	2.66666666666667	2.5	1.5	0	.5	 	 	3	4	4	1.75	9	9	0	-.344616019216428	-.867980926878544	-1.43137593488872	.88910434976323	2.5	1
4	D42	70	1	2	14	1	2	1	 	 	1	1	0	0	1	0	322.4	0	322.399	0	438.99	0	438.99	1	0	0	1	0	0	0	0	 	0	1	0	0	0	1	0	0	 	0	0	0	4	1	0	2	1	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	9	9	9	9	9	9	9	9	9	9	4	4	4	4	1	1	1	4	4	0	4	0	3	3	3	4	4	4	 	0	 	0	4	4	0	0	4	1	3	1	4	4	4	4	4	4	4	4	4	4	4	1	0	1	 	0	4	4	3	3	0	3	4	3	 	 	 	 	 	 	 	 	 	 	1	1	4	4	3.8	4	4	9	9	4	3	4	4	.5	4	4	.459640194724626	1.03215258825581	.5	.5	2	2.5	 	 	3	-1.21011582040405	-2.11870875309791	.600763255717693	-.95505359749072	.5	1
2	B38	65	0	2	35	0	3	1	7	 	2	6	2	0	0	148.8	148.8	148.8	148.8	278.35	278.35	278.35	278.35	1	0	0	1	0	0	0	0	 	0	0	0	0	0	0	0	0	 	0	1	1	1	 	 	 	3	3	3	4	3	3	1	3	3	4	4	3	3	3	3	3	3	3	3	9	9	9	9	9	8	8	8	8	8	3	4	3	4	1	1	1	2	2	3	1	3	2	3	3	1	1	1	 	0	 	1	2	4	1	1	3	3	4	1	0	0	0	 	4	4	4	4	4	4	4	1	1	1	2	2	2	2	2	2	2	3	3	1	1	 	 	 	 	0	1	2	4	1	.75	1	3.33333333333333	2.5	3.4	3	3	9	8	3.5	2.66666666666667	1	2.5	1	0	3.5	 	 	1	1.5	2	2	 	2.5	3	-.307311588523583	1.26493824434994	-.434769871451966	-1.41194058189216	5	1
2	B44	72	0	2	34	0	2	0	10	10	2	2	1	0	1	102.02	198.4	102.02	198.4	145.95	273.91	145.95	273.91	1	0	0	1	0	0	0	0	 	0	1	0	0	0	1	1	1	 	0	0	4	1	4	0	0	0	4	4	4	4	4	1	4	4	3	4	1	4	4	1	1	1	1	3	5	5	0	0	0	0	0	0	0	0	2	0	1	4	1	1	0	2	2	4	0	2	4	4	3	0	0	2	 	0	 	0	2	2	2	2	2	3	4	4	4	4	4	3	3	3	1	2	2	2	1	3	4	4	4	4	4	3	2	3	1	3	1	2	1	 	 	 	 	1	 	 	 	 	1.25	0	4	3.25	3.2	2	1.66666666666667	2	0	1.75	3.66666666666667	.666666666666667	2	3	4	2.125	-.393149731568995	-.487564202581426	3.5	4	4	2.25	 	 	2	-.871873295243266	2.04537145116671	-.955556361656249	-1.8313712405677	2	1
2	B22	44	1	2	4	1	4	2	10	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	 	0	0	1	0	0	1	1	1	 	0	0	0	4	4	1	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	9	9	9	9	9	9	9	9	9	9	4	4	4	4	1	1	1	4	4	2	0	0	1	1	1	0	0	4	3	1	2	1	2	3	4	4	3	4	4	1	0	4	4	0	0	4	4	4	1	4	2	0	0	0	3	0	1	3	4	3	0	1	1	3	1	 	 	 	 	1	 	 	 	 	1	.333333333333333	4	4	4	4	1	9	9	4	1	1.33333333333333	2.5	2.5	2.66666666666667	2.375	-1.45290545185333	.772859245997394	0	1.5	.5	2.5	 	 	3	-1.22835687704591	-.307290670365498	-.061234642296484	-.279488878061846	.5	1
2	B32	41	0	2	20	0	3	2	11	10	1	3	1	1	1	 	 	0	 	 	 	0	 	1	1	0	1	1	1	1	0	 	0	0	0	0	0	0	0	1	 	1	3	4	3	0	0	0	0	3	4	4	3	4	1	1	3	0	3	1	4	4	4	3	3	4	3	7	5	5	5	5	2	2	6	2	0	4	4	4	4	1	1	1	4	4	2	2	2	3	3	3	1	1	1	 	3	 	1	3	2	2	2	4	0	4	0	3	2	2	4	4	4	2	0	1	4	2	4	4	4	4	4	4	4	4	4	4	4	0	4	0	1	1	9	9	0	1	1	9	9	2.75	0	3.66666666666667	2.25	2.2	3.66666666666667	3.33333333333333	5.4	2.4	4	3	1	3.5	1	2.33333333333333	2.625	.527386776499627	-.721830882479755	4	4	4	4	9	9	3	-.908258625467685	.359194823739466	.700644836471485	.249502838127439	2.5	1
10	J53	46	1	2	.4	1	4	1	5	1	3	 	0	0	0	61.17	61.17	61.17	61.17	278.15	278.15	278.15	278.15	1	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	 	0	0	0	0	3	1	4	3	3	1	1	1	3	1	1	1	1	1	2	1	3	3	3	3	3	3	5	5	5	5	5	5	5	4	4	3	1	2	1	3	1	0	0	3	3	3	1	3	3	3	3	1	2	1	 	3	 	3	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	2	3	2	2	3	2	2	3	3	3	1	 	 	 	 	1	 	 	 	 	0	2.66666666666667	1.66666666666667	1.5	1.2	3	3	5	4.2	1.75	3	1.33333333333333	1.5	2	2	2	-1.30290089198184	.196718928576103	3	2.5	2.5	2.25	 	 	1	 	 	 	 	0	1
10	J41	45	0	2	8	0	2	2	12	11	2	8	0	0	0	285.2	285.2	285.2	285.2	319	319	319	319	1	1	0	1	1	1	1	1	 	0	0	0	0	0	0	0	0	 	2	2	2	2	4	2	3	4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	6	8	7	9	7	4	5	5	5	3	4	4	4	4	1	1	1	4	2	 	2	2	0	2	2	1	3	3	 	4	 	0	4	4	2	0	4	2	4	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	0	0	1	0	1	0	0	0	7	8	1	 	 	 	 	2	3	4	3.25	4	4	4	7.4	4.4	4	1.33333333333333	2.33333333333333	4	.5	1	4	.459640194724626	1.03215258825581	4	4	4	1.5	7.5	 	3	 	 	 	 	4	2
10	J57	75	0	2	50	0	3	0	5	 	3	8	2	1	1	 	 	1269.4	 	 	 	1396.86	 	0	0	0	1	0	0	0	0	 	0	0	1	0	0	1	0	0	 	0	0	2	0	3	1	4	4	3	3	2	2	3	2	3	3	2	3	3	2	4	4	4	4	4	4	8	7	6	8	6	2	2	2	2	2	4	3	4	4	0	0	0	2	2	3	2	1	2	3	2	2	1	0	 	3	 	1	3	4	1	0	3	1	3	3	0	0	0	4	4	4	4	4	4	4	4	2	3	2	2	3	4	2	1	1	1	3	3	1	1	 	 	 	 	1	 	 	 	 	.5	3	2.66666666666667	2.5	2.6	4	4	7	2	3.75	2.33333333333333	1	3	1.5	0	4	.459640194724626	1.03215258825581	2.5	2	3.5	1.25	 	 	0	2.49029652824848	-.536298833957697	-.534993482766262	.733715432787134	6	2
1	A58	 	1	2	15	0	2	 	1	 	 	 	 	1	1	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	 	4	4	4	4	3	4	 	 	 	 	 	 	 	 	4	4	4	4	4	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	4	4	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	4	4	4	 	 	 	 	 	 	 	4	0	0	1	 	 	 	 	 	 	 	 	 	4	1.33333333333333	 	1	4	2.66666666666667	 	 	 	2	 	 	 	 	 	.5	 	 	4	2	 	 	 	 	2	 	 	 	 	 	 
1	A2	40	1	2	9	0	3	1	9	 	 	 	2	1	1	 	 	1326.8	 	 	 	 	 	1	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	 	0	2	2	2	4	0	0	0	4	3	3	4	4	 	2	4	4	4	 	 	2	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	3	 	4	4	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.5	0	3.33333333333333	2.5	2.4	2	2	 	 	2.75	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	2	2
1	A59	47	0	2	45	0	4	2	8	9	1	2	 	0	0	49	49	49	49	40.26	40.26	40.26	40.26	1	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	1	 	0	2	2	1	4	0	1	0	4	1	3	1	3	1	3	3	3	1	1	3	3	4	3	4	4	2	5	7	4	5	7	4	6	4	6	6	4	4	4	0	1	1	1	4	3	3	2	3	1	4	3	1	1	1	 	4	10	2	2	2	3	3	3	3	3	3	 	 	4	4	 	 	 	 	 	 	 	3	3	3	3	3	3	3	3	3	3	0	0	4	0	1	0	9	9	0	1	1	9	9	1.25	.333333333333333	2.66666666666667	2	2.2	3.33333333333333	3.33333333333333	5.6	5.2	3	2.66666666666667	1	2.5	3	1.33333333333333	.5	 	 	3	3	3	3	9	9	3	 	 	 	 	1	1
1	A53	35	1	2	30	0	4	2	16	16	3	5	1	0	1	256.78	248	256.78	248	346.97	359.06	346.97	359.06	1	1	0	1	0	1	1	0	 	0	0	1	0	1	0	0	1	 	0	2	2	3	3	1	1	3	3	3	4	3	3	3	3	3	4	3	3	4	4	4	3	3	3	3	7	7	7	7	7	3	3	3	4	4	3	3	3	3	0	1	0	4	3	3	2	2	3	3	3	2	2	2	10	3	5	2	2	3	1	2	3	1	3	3	1	2	2	4	4	4	4	3	 	2	2	1	2	2	2	2	3	3	3	3	3	1	1	3	0	0	0	8	8	1	 	 	 	 	1.75	1.66666666666667	3.33333333333333	3	3.4	3.66666666666667	3	7	3.4	3	3	2	2.5	2.5	1.66666666666667	2.875	 	 	1.5	2	2.5	3	8	 	1	.125997484729139	.278237470437369	.784384255202365	.611829914419503	3.5	1
1	A41	64	0	2	7	0	5	2	11	5	2	5	1	0	0	173.6	173.6	173.6	173.6	290.01	290.01	290.01	290.01	1	0	0	1	0	0	0	0	 	0	1	1	0	0	1	1	1	 	2	2	2	2	1	1	1	3	3	3	3	2	1	1	2	2	1	2	2	2	3	3	3	3	3	3	5	5	5	5	0	0	0	0	5	0	1	2	3	3	1	1	1	4	4	2	0	2	3	3	3	0	2	2	50	4	50	3	3	2	2	2	2	2	1	2	0	0	0	0	2	4	4	3	3	0	0	3	2	2	2	3	3	3	3	3	3	3	3	2	1	 	 	 	 	1	 	 	 	 	2	1.66666666666667	3	1.5	1.8	3	3	4	1	2.25	3	1.33333333333333	2.5	2	0	2	-.102446318224523	-.958572748466919	2.5	2	3	3	 	 	3	-.440038228667802	.467293506739898	.32600820733768	1.87592424460134	3.5	1
1	A35	40	0	2	12	0	2	1	16	16	1	1	0	0	1	39.39	74.4	39.39	74.4	50.66	104.13	50.66	104.13	1	1	0	1	0	1	1	0	 	0	0	1	0	1	0	0	1	 	2	1	2	2	3	1	1	2	3	3	3	2	3	3	1	2	1	2	3	3	4	3	1	3	3	3	9	9	9	5	5	0	0	0	2	2	4	2	1	4	1	1	0	4	1	4	1	2	3	3	2	1	1	2	100	4	40	2	2	2	2	3	3	2	3	4	4	3	3	4	4	4	4	4	4	2	3	2	2	2	3	3	3	3	3	3	3	3	3	3	1	 	 	 	 	1	 	 	 	 	1.75	1.33333333333333	3	2.25	2.2	2.66666666666667	3	7.4	.8	2.75	2.66666666666667	1.33333333333333	2.5	3.5	3.33333333333333	3.625	.915937571581341	.134477876330237	2	2.5	3	3	 	 	2	-.999023495351768	1.0046537040599	-.266671001769463	.977199282670245	.5	1
1	A25	68	0	2	35	0	2	 	 	6	1	 	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	 	0	1	1	0	0	0	0	0	 	0	4	1	2	2	1	3	3	2	3	3	1	3	1	3	3	1	1	3	4	4	3	2	3	3	3	5	5	5	5	5	3	2	0	8	4	3	3	3	3	0	0	0	3	1	3	1	0	3	3	1	2	1	3	 	1	 	0	3	3	3	2	3	3	3	3	4	 	 	 	 	4	 	 	 	 	 	2	1	2	3	2	2	3	3	2	2	3	3	3	1	 	 	 	 	1	 	 	 	 	1.75	2.33333333333333	2.66666666666667	2	2.4	3	3	5	3.4	3	2.33333333333333	2	3	2.5	1.33333333333333	.5	 	 	1.5	2.5	2	2.5	 	 	0	 	 	 	 	0	1
1	A22	46	1	2	43	0	4	2	10	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	 	1	0	0	0	0	0	0	1	 	2	3	4	3	0	2	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	8	8	8	9	9	5	6	4	5	6	4	4	4	4	1	1	1	4	4	4	3	4	1	1	1	3	3	4	 	1	 	1	4	4	0	0	4	0	4	0	1	1	1	4	4	4	4	4	4	4	4	2	1	1	2	0	0	4	0	0	0	0	4	0	1	 	 	 	 	1	 	 	 	 	3	2	4	4	4	4	4	8.4	5.2	4	1	3.33333333333333	4	0	1	4	.459640194724626	1.03215258825581	1.5	1.5	0	1	 	 	3	-1.16430616606818	.439732767353876	2.57308395248302	-1.50121361000651	.5	1
1	A18	52	0	2	23	0	4	1	8	8	2	1	0	0	1	147.11	204	147.11	204	178.97	248.38	178.97	248.38	0	0	0	1	0	0	0	0	 	1	1	1	0	1	1	1	1	 	0	0	0	0	4	0	1	0	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	9	0	0	7	0	9	0	0	9	0	4	0	4	4	1	1	1	4	4	4	3	2	3	3	2	2	2	4	100	3	50	2	4	4	0	2	4	0	4	0	2	2	2	4	4	4	4	4	4	4	4	4	4	2	2	3	4	4	4	4	4	3	1	3	1	 	 	 	 	1	 	 	 	 	0	.333333333333333	4	3	4	4	4	3.2	3.6	3	2.66666666666667	2.66666666666667	4	1	2	4	.459640194724626	1.03215258825581	4	2	3.5	4	 	 	3	-.894885637082653	.0622391165331736	1.61815248847197	.529912624917533	.5	1
10	J32	70	1	2	30	0	 	 	5	5	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	 	0	1	1	1	1	1	1	1	 	3	3	3	3	 	2	2	2	3	3	3	2	2	2	2	3	2	 	3	4	3	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	1	1	2	2	1	1	1	4	4	3	2	3	4	4	3	2	 	2	 	2	 	2	2	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	2	2	2	2	4	2	3	1	 	 	 	 	1	 	 	 	 	3	2	3	2	2.4	3	3	5	5	1.5	3.66666666666667	1.33333333333333	2.5	3	2	2	-1.30290089198184	.196718928576103	4	4	4	2	 	 	3	-1.1403893975751	1.10341670902032	1.19766466340086	.0592795274996044	1.5	1
1	A6	42	0	2	 	0	2	2	16	 	2	8	2	0	0	86.8	86.8	86.8	86.8	138.1	138.1	138.1	138.1	1	0	0	1	0	1	1	0	 	0	0	0	0	0	0	0	0	 	0	1	0	1	3	1	1	2	2	2	3	4	4	3	4	3	2	3	3	4	4	4	4	3	3	3	5	5	6	7	7	3	2	2	2	4	3	4	4	4	0	0	0	4	2	4	2	2	1	2	2	1	0	2	 	1	 	0	3	3	1	2	4	1	3	1	0	0	0	2	2	2	2	2	2	2	2	0	0	0	0	1	3	1	1	1	1	1	1	2	1	 	 	 	 	1	 	 	 	 	.5	1.33333333333333	2.33333333333333	3.75	3	4	3	6	2.6	3.75	1.66666666666667	1	3.5	1.5	0	2	-1.30290089198184	.196718928576103	0	0	2	1	 	 	0	.486190370931466	1.00649892496974	.775712844557364	-1.78067083784783	6	1
1	A11	41	0	2	2.5	0	2	0	1	1	2	3	1	0	0	248	248	248	248	288.43	288.43	288.43	288.43	0	0	0	0	1	0	0	0	 	1	1	1	1	0	1	1	1	 	1	2	2	4	4	1	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	9	9	9	9	4	5	3	2	2	3	4	4	4	1	1	1	3	2	2	2	1	2	2	1	2	2	3	6	2	6	2	4	4	1	0	4	3	3	1	0	0	0	4	4	4	4	4	4	4	4	2	2	2	1	1	1	2	1	1	0	2	2	2	1	 	 	 	 	1	 	 	 	 	2.25	1.66666666666667	4	4	4	4	4	8.6	3.2	3.75	1.66666666666667	2.33333333333333	4	.5	0	4	.459640194724626	1.03215258825581	2	1.5	1	1	 	 	3	-.431015441898605	-.906831007260655	-.454415914283182	.569232802147738	2.5	1
10	J36	39	0	2	6	0	2	2	 	 	2	8	1	1	1	 	 	175.54	 	 	 	274.01	 	1	0	0	1	1	1	0	0	 	0	0	0	0	0	0	1	0	 	2	2	3	1	3	1	0	 	3	2	3	2	3	2	3	3	1	3	1	3	4	4	3	4	4	4	7	8	6	1	2	1	2	2	6	3	4	4	4	4	0	0	1	4	4	3	3	3	3	3	3	0	1	1	 	4	 	4	4	3	3	4	1	0	3	3	4	 	 	4	4	4	4	4	4	4	4	4	4	3	3	1	1	3	3	3	3	1	0	1	 	 	 	 	 	 	 	 	 	 	2	.333333333333333	2.66666666666667	2.5	2.2	3.66666666666667	4	4.8	2.8	4	3	.666666666666667	2.5	3.5	1.33333333333333	4	.459640194724626	1.03215258825581	4	3	1	3	 	 	1	.285821497885586	.513056275182441	1.3848549780193	1.83432566839908	5	1
10	J82	47	0	2	33	0	4	1	15	 	3	8	1	 	 	 	 	444.42	 	 	 	506.54	 	1	0	0	1	1	1	0	0	 	0	0	0	0	0	0	0	0	 	0	0	2	2	2	1	1	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	 	 	 	2	 	 	 	 	 	 	3	3	3	4	0	1	0	3	2	3	2	2	1	3	2	2	2	2	 	3	 	1	3	3	2	2	3	2	3	3	 	 	2	3	 	 	 	 	 	 	 	2	3	2	1	3	3	3	2	3	2	3	3	3	1	 	 	 	 	1	 	 	 	 	1	1.66666666666667	3	3	2.8	3	3	.4	 	3.25	2	2	3	2.5	.666666666666667	.375	 	 	2.5	1.5	3	2.5	 	 	1	.660198897618564	-.0379078031260008	.140016698036346	.124406179443654	5	2
