interviewernumber	questionnairecode	Age	gender	race	howlong	own_rent	adults	adultsemployed	householdincome	personalincome	originalstratum	howclosepicture	howclosewords	inf_stlmnt_accuracy	residence_accuracy	crowflies_address_indicatedinfstlmnt	crowflies_indicatedaddress_indicatedinfstlmnt	crowflies_address_infstlmnt	crowflies_indicatedaddress_infstlmnt	byroad_address_indicatedinfstlmnt	byroad_indicatedaddress_indicatedinfstlmnt	byroad_address_infstlmnt	byroad_indicatedaddress_infstlmnt	hve_fence	hve_razorwire	hve_electricfence	hve_burglarbars	hve_dogs	hve_alarm	hve_armedrespnse	hve_camera	other	want_fence	want_razorwire	want_electricfence	want_burglarbars	want_dogs	want_alarm	want_armedrespnse	want_camera	other_A	cnt_avd1	cnt_avd2	cnt_avd3	cnt_avd4	SJ1	SJ2	SJ3	SJ4	Thrt_Phy1	Thrt_Phy2	Thrt_Phy3	Thrt_Rce1	Thrt_Rce2	Thrt_Rce3	Thrt_Rce4	Thrt_Sym1	Thrt_Sym2	Thrt_Sym3	Thrt_Sym4	Thrt_Sym5	Idnt_In1	Idnt_In2	Idnt_In3	Idnt_Nd1	Idnt_Nd2	Idnt_Nd3	Att_IS1	Att_IS2	Att_IS3	Att_IS4	Att_IS5	Att_B1	Att_B2	Att_B3	Att_B4	Att_B5	PA1	PA2	PA3	PA4	Cnt_IS_see	Cnt_IS_hear	Cnt_IS_smell	Cnt_qnt_B	Cnt_qnt_IS	Cnt_pos_B	Cnt_neg_B	Cnt_pos_IS1	Cnt_Qul_IS1	Cnt_Qul_IS2	Cnt_Qul_IS3	Cnt_neg_IS1	Cnt_neg_IS2	Cnt_neg_IS3	Cnt_Ex_B1	Cnt_Ex_B2	Cnt_Ex_IS1	Cnt_Ex_IS2	PD_I_D	PD_N_D	PD_B_D	PD_Is_D	PD_I_F	PD_N_F	PD_B_F	PD_Is_F	Emot_Is_D1	Emot_Is_D2	Emot_Is_D3	Emot_Is_G1	Emot_Is_G2	Emot_Is_G3	Emot_Is_G4	Emot_Is_G5	Emot_Is_G6	Emot_Is_G7	Emot_Is_G8	CA_Is1	CA_Is2	CA_B1	CA_B2	Solidar1	Solidar2	Empath1	Empath2	Empath3	Empath4	Empth_P1	Empth_P2	Empth_P3	Domestic	Domes_PtFt	Dom_Is	Dom_Att1	Dom_Att2	Gardner	Gardn_PtFt	Gardn_Is	Gardn_Att1	Gardn_Att2	cnt_avd	SysJus	Thrt_Phy	Thrt_Rce	Thrt_Sym	Idnt_In	Idnt_Nd	Prej_IS	Prej_B	PolAtt	Cnt_Qul_IS	Cnt_neg_IS	PDisc_I	PDisc_Is	Emot_Is_D	Emot_Is_G	Emot_IS_G_Angry	Emot_IS_G_Repuls	ColAct_Is	ColAct_B	Solidar	Empath	Dom_Relat	Gardn_Relat	Cnt_IS_Visceral	CNT_Physical	CNT_Qaulity	CNT_Quantity	CNT_Extended	Distance.SelfReport	group_meansplit_crwofliesdistance
4	D29	55	0	2	28	0	3	3	 	 	3	2	1	1	1	894.74	1016.8	283.52	433.03	1609.26	1741.7	395.76	460.23	1	0	0	1	1	1	0	0	 	0	0	0	0	0	0	0	0	 	0	0	0	0	4	1	3	3	3	1	1	1	3	1	1	1	1	3	1	3	4	4	3	4	3	3	9	1	1	1	0	1	1	0	0	0	3	1	3	3	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	0	2	3	1	3	3	2	0	0	3	3	3	0	2	0	2	3	1	1	1	1	3	3	3	3	3	1	1	1	3	0	1	0	9	9	 	 	 	 	 	0	2.33333333333333	1.66666666666667	1.5	1.8	3.66666666666667	3.33333333333333	2.4	.4	2.5	 	 	1.5	2.5	.666666666666667	2	-.72381396820849	-.313465577384992	1	1	3	2.5	9	 	2	 	 	 	 	2	2
4	D52	58	1	2	25	1	1	0	 	 	2	8	3	0	1	229.4	328.6	229.4	328.6	271.35	449.95	271.35	449.95	1	0	0	1	1	0	0	0	 	0	0	0	0	0	0	0	0	 	0	0	0	0	4	1	1	1	3	3	3	2	2	1	1	3	2	 	 	3	4	4	3	3	2	3	1	1	0	3	0	0	0	0	3	0	3	1	2	3	1	1	0	3	3	4	1	3	3	3	3	-1	1	1	 	4	 	0	3	2	3	3	3	3	3	3	3	3	4	2	2	2	2	3	2	2	2	3	3	3	3	3	3	3	2	3	3	3	1	3	 	 	 	 	 	 	 	 	 	 	0	1	3	1.5	1.6	3.66666666666667	2.66666666666667	1	.6	2.25	3	.333333333333333	3	3	3.33333333333333	2.125	-1.29916336045879	.349484608059516	3	3	3	2.75	 	 	2	.385585742989515	1.80009066604452	.499495004968841	-.38028313550356	7	1
4	D20	50	0	2	19	0	3	2	12	10	3	3	0	0	0	390.6	390.6	390.6	390.6	465.22	465.22	465.22	465.22	1	0	0	1	0	1	0	0	 	1	1	1	1	1	1	1	1	 	3	2	3	3	4	0	3	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	3	4	6	6	2	1	6	6	5	4	2	2	0	0	4	4	1	1	1	4	4	4	2	4	3	4	4	1	2	4	 	4	 	1	3	4	1	2	4	1	4	1	2	2	2	4	4	4	4	4	4	4	4	3	3	3	3	3	4	3	3	3	3	2	1	3	1	 	 	 	 	0	1	1	9	9	2.75	1.66666666666667	4	4	4	4	2.66666666666667	4.2	3.8	2	3.66666666666667	2.33333333333333	3.5	1.5	2	4	.459640194724626	1.03215258825581	3	3	3.5	3	 	9	3	-.401121081927211	1.25215289355175	1.99164444984134	.310578398314472	1.5	2
4	D8	75	1	2	8	0	1	0	5	5	2	3	1	0	0	161.2	161.2	161.2	161.199	309.73	309.73	309.73	309.73	0	0	0	1	0	0	0	0	 	0	0	0	0	0	0	0	0	 	3	1	3	4	1	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	2	2	0	8	0	3	2	1	6	3	1	3	3	3	1	1	1	4	4	3	1	3	3	3	3	1	1	3	 	1	 	1	3	3	2	3	 	 	3	3	3	3	3	3	3	4	4	4	3	3	3	1	1	1	 	 	 	 	 	 	 	3	3	3	1	 	 	 	 	1	 	 	 	 	2.75	1.33333333333333	3	3	3	3.66666666666667	3	2.4	3	2.5	3	1.66666666666667	1.5	3	3	3.375	.235647489422579	.456300217490279	1	.5	 	 	 	 	3	-.578189902647239	1.14723498959281	1.29629578060166	-.871358716095093	2.5	1
4	D23	57	0	2	40	0	5	3	 	 	2	3	1	1	1	508.96	347.2	315.04	393.86	682.37	414.14	349.68	487.32	1	0	0	1	1	0	0	0	 	0	1	1	0	0	1	1	1	 	0	0	0	3	3	1	1	2	2	1	3	3	3	3	1	3	2	3	 	4	4	4	4	4	4	4	8	7	5	8	4	1	2	0	5	0	4	1	3	3	1	1	1	2	2	2	2	1	3	3	2	2	2	1	 	4	 	3	3	3	2	3	4	2	3	2	3	1	3	4	4	4	3	3	3	4	4	3	3	3	2	2	2	3	3	3	3	0	0	3	0	1	0	9	9	1	 	 	 	 	.75	1.33333333333333	2	2.5	2.4	4	4	6.4	1.6	2.75	2.66666666666667	1.66666666666667	3.5	2.5	2.33333333333333	3.625	.303926772506585	.722290677538942	3	2.5	2	3	9	 	3	-.430505646077304	-.746798076850838	-1.25304676824584	2.08884772377718	2.5	2
4	D17	70	1	2	30	2	2	1	 	 	3	8	4	1	1	1120.44	458.8	616.54	1341.3	1702.23	691.33	976.87	518.19	1	0	0	1	1	0	0	0	 	0	0	0	0	0	1	1	0	 	0	0	0	0	3	1	3	3	1	1	1	3	3	3	3	1	3	3	3	3	4	4	4	4	4	4	5	6	1	6	0	2	3	2	5	0	4	4	4	4	0	0	0	1	0	2	1	1	2	3	3	1	0	1	 	1	 	0	3	3	2	2	3	2	3	1	1	1	1	1	3	3	3	3	2	1	1	1	1	3	1	1	2	2	2	1	1	1	1	2	0	1	2	9	9	1	 	 	 	 	0	2.33333333333333	1	3	2.6	4	4	3.6	2.4	4	2.66666666666667	.666666666666667	3	1.5	1	2.125	-.324033776137941	-.569352591197418	1	2	1.5	1.5	9	 	0	1.70261444486329	.122827321397002	-2.34247573403391	-.91655326067978	8	2
3	C59	66	1	2	34	0	3	2	 	 	1	1	0	0	1	0	285.2	0	285.2	0	488.84	0	488.84	1	0	0	1	1	1	1	0	 	0	0	0	0	0	0	0	1	 	2	0	4	4	3	1	4	1	4	4	4	3	3	3	3	4	4	4	4	4	4	4	4	3	4	1	7	2	2	9	9	3	8	4	9	9	4	4	4	4	1	1	1	4	4	2	2	0	4	3	3	2	3	3	 	1	 	1	4	3	0	2	3	3	3	3	2	3	1	4	4	4	4	4	4	4	4	1	3	3	 	3	3	3	3	3	0	1	1	3	 	 	 	 	 	 	 	 	 	 	2.5	2	4	3	4	4	2.66666666666667	5.8	6.6	4	3.33333333333333	2.66666666666667	3.5	2.5	2	4	.459640194724626	1.03215258825581	2	1.5	3	2.25	 	 	3	-1.26590454923811	-.574004174954738	.330964884782859	-.210135486949604	.5	1
3	C55	26	1	2	40	0	4	1	16	 	3	8	2	1	1	 	 	1283.53	1168.66	 	 	1685.02	1517.33	1	0	0	0	1	0	0	0	 	0	0	0	0	0	1	0	0	 	0	0	2	4	2	0	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	9	 	 	 	 	7	8	8	9	9	4	2	4	4	0	0	0	3	4	2	2	2	2	2	2	2	4	4	20	3	 	0	4	4	0	0	4	0	4	0	1	1	1	4	4	4	4	4	4	4	1	1	1	1	0	0	2	2	2	2	1	2	2	2	1	 	 	 	 	1	 	 	 	 	1.5	1	4	4	4	4	4	1.8	8.2	3.5	2	3.33333333333333	4	0	1	3.625	.883642821125881	.162210228182139	1	.5	1	1.75	 	 	0	2.72341290238789	-1.18601512397844	1.29717267011952	.139460909254627	6	2
10	J76	40	0	2	35	1	3	2	 	 	3	8	2	1	1	1313.84	1140.8	881.19	1068.68	1754.14	1674	1308.39	1260.22	1	0	0	1	0	0	0	0	 	0	0	0	0	1	1	1	0	 	0	0	0	0	3	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	8	8	8	7	7	5	5	5	5	5	1	4	2	4	0	0	0	3	2	3	1	2	3	3	3	1	1	1	 	3	 	2	3	1	1	2	2	2	 	 	 	 	 	1	1	1	1	1	1	1	1	3	3	2	3	3	 	1	1	1	2	3	3	3	1	 	 	 	 	1	 	 	 	 	0	1	1	1	2	3	3	7.6	5	2.75	3	1	2.5	1	 	1	-2.18417143533507	-.220997901263749	3	2.5	1.5	1.25	 	 	0	1.99072544430405	.375553593972569	-.137457321804463	.973961800048402	6	2
9	I12	19	1	2	15	1	2	2	9	16	3	 	1	1	1	233.21	172.37	214.66	147.41	486.51	480.74	389.52	364.54	0	0	0	0	0	1	1	0	 	1	0	1	0	0	0	0	1	 	0	0	1	2	4	0	2	0	2	1	2	4	4	3	3	2	3	2	3	3	4	3	3	2	2	3	4	5	5	5	5	3	3	3	4	3	2	2	1	3	1	0	0	2	1	2	3	0	2	2	2	2	3	2	100	3	0	0	3	2	1	3	0	3	2	3	3	4	4	2	2	1	1	0	0	0	0	3	3	3	3	3	3	4	4	4	4	3	2	3	1	 	 	 	 	1	 	 	 	 	.75	.666666666666667	1.66666666666667	3.5	2.6	3.33333333333333	2.33333333333333	4.8	3.2	2	2	2.33333333333333	1.5	3	3.66666666666667	.75	-1.15832453258626	-1.48310014250354	3	3	3	4	 	 	1	 	 	 	 	1	1
